课程名称,学分
地基处理,2
毕业设计（论文）（工业设计）,15.0
论文报告,2
毕业设计（论文）（艺术设计）,13.0
音乐理论基础,3
西方音乐史,3
国有资产管理与资本经营,3
电力电子课程设计,2
行政管理论文报告,1
智能仪表课程设计,2
公共部门人力资源管理,3
毕业设计（论文）（文化艺术管理）,18
天然药物化学,2
药物设计与开发Ⅰ（中药及化学药）,2
药物化学,3
系统生物学,2
化工工艺学,3
毕业论文(汉语言文学专业),17
公共经济与经济政策概论（B类）,3
电子测量技术与仪器,2
管理信息系统,3
毕业设计（论文）（广播影视编导）,15
毕业设计（论文）（传播学）,15
财务管理,3
通信基本电路与实验,4
通信基本电路与实验,4
电力系统自动化,3
电气工程基础（2）,2
电气工程基础（2）,2
电气工程基础（2）,2
电气工程基础（2）,2
电力系统暂态分析,2
电力系统暂态分析,2
电力系统暂态分析,2
固体废弃物处理和处置,3
租船运营管理与实务,2
日语精读（M类）（1）,6
日语精读（M类）（1）,6
西方园林艺术,2.0
弹性理论（2）,2.5
中国文化概论,3
跨文化交流,3
工程材料,3
机电系统设计与实践,3
机电系统设计与实践,3
机电系统设计与实践,3
机电系统设计与实践,3
文化资源学概论,2
西方现代文化思潮概论,3
专业实习（文化艺术管理）,20
文化市场营销,3
日语视听说（M类）（1）,3
日语视听说（M类）（1）,3
国际航运管理,2
DSP实践,2
分布式系统,3
企业级应用系统体系架构,3
数据仓库与数据挖掘,3
可编程控制器原理及应用,2
企业信息系统综合设计与实现,3
网络系统与控制,4
制造实践(B类),2
空间导向设计,3.0
制造实践(A类),4
品牌形象设计,3.0
广告设计（2）,6.0
医学仪器原理,3
致远学术报告,1
毕业设计（论文）（数学与应用数学）（A类）,6
毕业设计（论文）（生物科学）（A类）,6
毕业设计(论文)(物理学)（A类）,6
机械与动力综合实验(2),3
机械与动力综合实验(2),3
金融学论文报告（A类）,4
国际经济与贸易论文报告（A类）,4
财务管理,3
管理会计,3
财务会计信息系统,3
聚合物成型加工原理,2
宏微观经济学,3
材料综合实验（2）,3
材料工程论坛,2
材料加工原理,5
材料加工原理,5
材料物理性能,2
材料应用与实践,2
材料微观结构与化学表征,4
数字图像处理与模式分析,4
高电压工程,4
数字信号处理,4
毕业设计（论文）（IEEE）,16
新能源综合实验,3
核科学与核技术实验,3
工业工程综合实验,2
管理学原理（C类）,3
管理学原理（C类）,3
管理学原理（C类）,3
管理学原理（C类）,3
大数据挖掘,2
智能天线与多维阵列,2
应用数学方法（2）,4
国际政治导论,4
材料机械性能（J类）,4
飞行器结构力学,3
飞行器设计（C类）,3
航空航天实验II,2
毕业设计（论文）（航空航天工程）,10
推进原理,4
核反应堆热工水力,3
两相流动与传热,2
核反应堆安全分析,2
材料性能（2－物理性能）,2
工程材料导论,4
宏微观经济学,3
食品微生物实验,1.5
食品微生物实验,1.5
食品微生物学,2
工程实践与科技创新Ⅲ-F,2
工程实践与科技创新Ⅳ-E,2
数字图像处理与应用,3
数字信号处理技术与应用,2
移动机器人,2
网络系统与控制,3
通信基本电路与实验,4
多媒体通信系统与实现,2
材料组织结构的表征,4
材料组织结构的表征,4
传输与交换光子学,2
信息论基础,2
光量子学基础,2
基因工程与功能性食品,2
食品机械与设备,2
建筑结构抗震,2
基坑工程课程设计,2
弹性力学及有限元,2
现代控制理论（B类）,3
非线性系统,1
宏微观经济学,3
宏微观经济学,3
宏微观经济学,3
宏微观经济学,3
宏微观经济学,3
高分子材料,2
宏微观经济学,3
生产实习（材料）,3
VLSI数字通信原理与设计,4
毕业设计（论文）（建筑学）,17
管理学原理（A类）,2
中国文学基础,2
毕业设计（论文）（化学）（A类）,5
毕业设计（论文）（生物医学工程）,6
德语（1）,2
德语（2）,2
生化分离工程,2
生物统计与数学模型,3
人机界面与交互,3
游戏设计与开发,3
宏微观经济学,3
高分子研究方法,2
高分子科学实验,2
社会实习（传播学）（2）,10
英语新闻阅读与写作,3
嵌入式系统应用技术课程设计,2
运动控制系统综合实验,2
电力系统应用综合实验,2
微电网控制系统综合实验,2
机械与动力综合实验I-B,1
先进微纳加工技术,2
教学实践,2
毕业设计（论文）（计算机科学）（A类）,10
毕业设计(论文)(应用化学),15
毕业设计(论文)(应用化学),15
移动互联网,4
数据挖掘技术,4
计算机网络,4
机器学习,4
机器学习,4
数据科学基础,3
电气与电子测量技术,2
电气与电子测量技术,2
世界贸易组织概论,3
国际贸易理论与政策,3
国际贸易理论与政策,3
德语（2）,2
德语（6）,2
药物分析,3
电气与电子测量技术,2
电气与电子测量技术,2
材料性能（2－物理性能）,2
材料激光加工技术,2
生产实习（材料）,3
高等光学,3
流体力学,3
毕业设计（论文）园林专业,10
计算物理,3.0
生物物理,3
激光原理与技术,3
物理专业实验,3
景观设计（3）,6.0
雕塑,4.0
机械动力学,3
计算材料学,3
计算材料学,3
材料综合实验（2）,3
材料综合实验（2）,3
天文观测与天体物理,3
粒子物理与核物理实验方法,3
国际经济法（B类）,2
法理学（B类）,2
宪法,2
经济法,3
国际贸易理论与政策,3
核电厂系统与设备,2
动态测试与分析技术,2.5
毕业设计（论文）,16
精细化工导论,1
化工应用数学,2
专业英语,2
化工安全工程概论,1
化工产品工程,1
电化学系统,1
化工原理实验(下),2
混凝土结构与砌体结构设计,3
建筑工程施工,2
地下工程施工,2
工程可靠性与国内外规范,2
风景园林规划设计（2）,1.5
中医药文化,2
生物技术药物,2
生物制药工艺学,2
药学统计学,2
毕业设计(论文)(环境科学与工程),8
环境工程实验,2
环境科学实验,1
水处理工程课程设计,2
电力系统暂态分析,2
生物大数据分析,2
生物能源,2
生物制药,2
天然药物实验2,1
中药药剂学,2
电力系统继电保护,3
电力系统自动化,3
高级算法,2
基础法语（1）,9
法语听力（1）,3
法语听力（1）,3
强化学习,2
理论计算机,2
神经生物学,4
神经生物学讨论课,2
科研能力培养（4）,2
日汉互译（1）,2
日语写作（3）,2
日本近现代文学欣赏（1）,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
数据结构B,2
毕业设计（论文）（机械类）,4
软件测试,2
电机控制技术,3
国际金融（C类）,3
管理学原理（C类）,3
电力系统自动化,3
核电厂控制与保护,2
制造工艺I,4
制造工艺I,4
制造工艺I,4
传热学,3
组织工程,2
医学仪器原理,3
投资学,3
投资学,3
国际金融（C类）,3
国际金融（C类）,3
国际金融（C类）,3
食品经济与市场分析,2
智能物联网,3
食品包装学,2
现代感知技术,2
无线组网技术,2
本科生科研项目,3
无线组网技术,2
专业实习（艺术设计-视觉传达方向）,6.0
交通安全课程设计,2
德国概况,1.5
德语毕业论文,2
交通运输系统规划,2
高级德语（1）,6
德语视听说（3）,3
预测与决策,3
基础德语（1）,6
专题设计（5）,2.0
细胞工程,2
影视剧导演,3
影视制作实践:剧情短片,3
影视广告,2
化学综合实验,4
化学综合实验,4
计算机网络（B类）,2
操作系统（F类）,4
编译原理（E类）,4
计算引论,4
离散数学（E类）,3
会计学论文报告（A类）,4
工商管理论文报告（A类）,4
药物化学实验,1
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
传热学,3
传热学,3
传热学,3
传热学,3
综合实验训练三,1.5
波谱基础,2
固体化学,2
汉字文化,2
饲料学,2
动物药理学,2
英语写作,4
英语写作,4
英语写作,4
英语写作,4
英语写作,4
制造工艺I,4
制造工艺I,4
制造工艺I,4
制造工艺I,4
制造工艺I,4
制造工艺I,4
制造工艺I,4
分子生物学（C类）,2
机械与动力综合实验(2),3
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
毕业设计（论文）（自动化）,12
建筑设计及原理（3-2）,8
工艺美术概论,2.0
设计管理概论,3.0
交互设计,5.0
综合设计表达,2.0
动物环境卫生学,2
实验动物学,2
品牌管理,2
大学化学实验（J类）,1
工程概率方法,4
信号与系统处理,4
科技写作与交流,1
过程控制系统课程设计,1
检测技术B,2
随动系统课程设计,1
IT项目管理,2
科技实习与创新－生物技术（3）,1
科技实习与创新－生物工程（3）,1
科技实习与创新－生物信息（3）,1
基因工程,2
生化分析原理与方法,2
毕业设计（论文）（机械类）,4
毕业设计（论文）（机械类）,4
机械与动力综合实验(2),3
问题求解指导(2),4
建筑设备（2）,2
自然语言处理,2
虚拟现实与交互3D图形显示,2
专业实习（工业设计）,4.0
毕业设计（论文）（船舶与海洋工程）,13
汉语写作（A类）（2）,2
过程控制系统,3
毕业设计（论文）（计算机）,12
管理信息系统（A类）,3
质量管理学,4
服务管理,2
随机模型,3
毕业设计（论文）（机械类）,4
毕业设计（论文）（机械类）,4
毕业设计（论文）（机械类）,4
毕业设计（论文）（机械类）,4
核科学与核技术实验,3
数据库系统,3
毕业设计（论文）（国际航运）,17
日语作文,1
日语毕业论文,2
日语精读（M类）（3）,6
日语视听说（M类）（3）,3
影视文化研究,2
设计与制造（J类）（1）,4
企业与自然环境,3
金工实习,1
全球视野中的中国历史,3
毕业设计（论文）（微电子）,12
毕业设计（论文）（测控）,12
新型光通信系统,2
毕业设计（论文）（材料科学与工程）,12
毕业设计（论文）（材料科学与工程）,12
射频电路设计,2
大学英语（2）,3
钢结构基本原理,2
土木工程项目管理,2
电力电子技术,3
工程实践与科技创新Ⅳ-B,2
大学物理（A类）（1）,4.0
仪器总线与虚拟仪器,2
大学物理（A类）（1）,4.0
汉语应用文写作,3
核心阅读（I),3
微积分（2）,4
毕业设计（论文）（日语）,10
日语精读（6）,6
日语视听说（5）,2
英语写作,4
英语写作,4
英语写作,4
英语写作,4
英语写作,4
工业工程综合实验,2
机械与动力综合实验(2),3
集成电路工艺技术基础（A类）,2
风景园林规划设计（2）,1.5
风景园林规划设计（2）,1.5
草坪与地被应用,2
城市设计,2
物理研究实践IV,1
毕业设计(论文)(物理学),6
毕业设计（论文）（应用物理学）,6
机械与动力综合实验(2),3
毕业设计（论文）（植物科学与技术）,10
机械与动力综合实验(2),3
专业实习（艺术设计-环境艺术设计方向）,6.0
特别课程设计,4.0
日语演讲比赛（3）,3
日语泛读（4）,2
专业实习（日语）,6
学术写作,1
德语高级视听（影视）,1
毕业设计（论文）（德语）,12
高级德语（2）,6
德语高级视听说（2）,2
德国历史,2
政治学,3
纪录片编导,3
嵌入式系统原理与应用,2
高等数学（A）（2）,4.0
概率统计,3.0
海外汉学与中国现代作家研究,2
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
汉字与域外文化,2
专业实习（暑期）,4
读书报告（四）（专业导师制活动）,1
文学人类学,2
中外文化交流史,3
核电厂运行与控制,3
本科生科研项目,3
跨境跨学科设计项目（2）,2
光电子器件,2
建筑师业务,3
德语视听说（1）,3
点过程建模及应用,3
法语写作,3
